Код,Название,Код страны,Официальный,Процент
1,Dutch,ABW,T,"5,3"
2,English,ABW,F,"9,5"
3,Papiamento,ABW,F,"76,7"
4,Spanish,ABW,F,"7,4"
5,Balochi,AFG,F,"0,9"
6,Dari,AFG,T,"32,1"
7,Pashto,AFG,T,"52,4"
8,Turkmenian,AFG,F,"1,9"
9,Uzbek,AFG,F,"8,8"
10,Ambo,AGO,F,"2,4"
11,Chokwe,AGO,F,"4,2"
12,Kongo,AGO,F,"13,2"
13,Luchazi,AGO,F,"2,4"
14,Luimbe-nganguela,AGO,F,"5,4"
15,Luvale,AGO,F,"3,6"
16,Mbundu,AGO,F,"21,6"
17,Nyaneka-nkhumbi,AGO,F,"5,4"
18,Ovimbundu,AGO,F,"37,2"
19,English,AIA,T,0
20,Albaniana,ALB,T,"97,9"
21,Greek,ALB,F,"1,8"
22,Macedonian,ALB,F,"0,1"
23,Catalan,AND,T,"32,3"
24,French,AND,F,"6,2"
25,Portuguese,AND,F,"10,8"
26,Spanish,AND,F,"44,6"
27,Dutch,ANT,T,0
28,English,ANT,F,"7,8"
29,Papiamento,ANT,T,"86,2"
30,Arabic,ARE,T,42
31,Hindi,ARE,F,0
32,Indian Languages,ARG,F,"0,3"
33,Italian,ARG,F,"1,7"
34,Spanish,ARG,T,"96,8"
35,Armenian,ARM,T,"93,4"
36,Azerbaijani,ARM,F,"2,6"
37,English,ASM,T,"3,1"
38,Samoan,ASM,T,"90,6"
39,Tongan,ASM,F,"3,1"
40,Creole English,ATG,F,"95,7"
41,English,ATG,T,0
42,Arabic,AUS,F,1
43,Canton Chinese,AUS,F,"1,1"
44,English,AUS,T,"81,2"
45,German,AUS,F,"0,6"
46,Greek,AUS,F,"1,6"
47,Italian,AUS,F,"2,2"
48,Serbo-Croatian,AUS,F,"0,6"
49,Vietnamese,AUS,F,"0,8"
50,Czech,AUT,F,"0,2"
51,German,AUT,T,92
52,Hungarian,AUT,F,"0,4"
53,Polish,AUT,F,"0,2"
54,Romanian,AUT,F,"0,2"
55,Serbo-Croatian,AUT,F,"2,2"
56,Slovene,AUT,F,"0,4"
57,Turkish,AUT,F,"1,5"
58,Armenian,AZE,F,2
59,Azerbaijani,AZE,T,89
60,Lezgian,AZE,F,"2,3"
61,Russian,AZE,F,3
62,French,BDI,T,0
63,Kirundi,BDI,T,"98,1"
64,Swahili,BDI,F,0
65,Arabic,BEL,F,"1,6"
66,Dutch,BEL,T,"59,2"
67,French,BEL,T,"32,6"
68,German,BEL,T,1
69,Italian,BEL,F,"2,4"
70,Turkish,BEL,F,"0,9"
71,Adja,BEN,F,"11,1"
72,Aizo,BEN,F,"8,7"
73,Bariba,BEN,F,"8,7"
74,Fon,BEN,F,"39,8"
75,Ful,BEN,F,"5,6"
76,Joruba,BEN,F,"12,2"
77,Somba,BEN,F,"6,7"
78,Busansi,BFA,F,"3,5"
79,Dagara,BFA,F,"3,1"
80,Dyula,BFA,F,"2,6"
81,Ful,BFA,F,"9,7"
82,Gurma,BFA,F,"5,7"
83,Mossi,BFA,F,"50,2"
84,Bengali,BGD,T,"97,7"
85,Chakma,BGD,F,"0,4"
86,Garo,BGD,F,"0,1"
87,Khasi,BGD,F,"0,1"
88,Marma,BGD,F,"0,2"
89,Santhali,BGD,F,"0,1"
90,Tripuri,BGD,F,"0,1"
91,Bulgariana,BGR,T,"83,2"
92,Macedonian,BGR,F,"2,6"
93,Romani,BGR,F,"3,7"
94,Turkish,BGR,F,"9,4"
95,Arabic,BHR,T,"67,7"
96,English,BHR,F,0
97,Creole English,BHS,F,"89,7"
98,Creole French,BHS,F,"10,3"
99,Serbo-Croatian,BIH,T,"99,2"
100,Belorussian,BLR,T,"65,6"
101,Polish,BLR,F,"0,6"
102,Russian,BLR,T,32
103,Ukrainian,BLR,F,"1,3"
104,English,BLZ,T,"50,8"
105,Garifuna,BLZ,F,"6,8"
106,Maya Languages,BLZ,F,"9,6"
107,Spanish,BLZ,F,"31,6"
108,English,BMU,T,100
109,Aimara,BOL,T,"3,2"
110,GuaranI,BOL,F,"0,1"
111,KetSua,BOL,T,"8,1"
112,Spanish,BOL,T,"87,7"
113,German,BRA,F,"0,5"
114,Indian Languages,BRA,F,"0,2"
115,Italian,BRA,F,"0,4"
116,Japanese,BRA,F,"0,4"
117,Portuguese,BRA,T,"97,5"
118,Bajan,BRB,F,"95,1"
119,English,BRB,T,0
120,Chinese,BRN,F,"9,3"
121,English,BRN,F,"3,1"
122,Malay,BRN,T,"45,5"
123,Malay-English,BRN,F,"28,8"
124,Asami,BTN,F,"15,2"
125,Dzongkha,BTN,T,50
126,Nepali,BTN,F,"34,8"
127,Khoekhoe,BWA,F,"2,5"
128,Ndebele,BWA,F,"1,3"
129,San,BWA,F,"3,5"
130,Shona,BWA,F,"12,3"
131,Tswana,BWA,F,"75,5"
132,Banda,CAF,F,"23,5"
133,Gbaya,CAF,F,"23,8"
134,Mandjia,CAF,F,"14,8"
135,Mbum,CAF,F,"6,4"
136,Ngbaka,CAF,F,"7,5"
137,Sara,CAF,F,"6,4"
138,Chinese,CAN,F,"2,5"
139,Dutch,CAN,F,"0,5"
140,English,CAN,T,"60,4"
141,Eskimo Languages,CAN,F,"0,1"
142,French,CAN,T,"23,4"
143,German,CAN,F,"1,6"
144,Italian,CAN,F,"1,7"
145,Polish,CAN,F,"0,7"
146,Portuguese,CAN,F,"0,7"
147,Punjabi,CAN,F,"0,7"
148,Spanish,CAN,F,"0,7"
149,Ukrainian,CAN,F,"0,6"
150,English,CCK,T,0
151,Malay,CCK,F,0
152,French,CHE,T,"19,2"
153,German,CHE,T,"63,6"
154,Italian,CHE,T,"7,7"
155,Romansh,CHE,T,"0,6"
156,Aimara,CHL,F,"0,5"
157,Araucan,CHL,F,"9,6"
158,Rapa nui,CHL,F,"0,2"
159,Spanish,CHL,T,"89,7"
160,Chinese,CHN,T,92
161,Dong,CHN,F,"0,2"
162,Hui,CHN,F,"0,8"
163,MantSu,CHN,F,"0,9"
164,Miao,CHN,F,"0,7"
165,Mongolian,CHN,F,"0,4"
166,Puyi,CHN,F,"0,2"
167,Tibetan,CHN,F,"0,4"
168,Tujia,CHN,F,"0,5"
169,Uighur,CHN,F,"0,6"
170,Yi,CHN,F,"0,6"
171,Zhuang,CHN,F,"1,4"
172,Akan,CIV,F,30
173,Gur,CIV,F,"11,7"
174,Kru,CIV,F,"10,5"
175,Malinke,CIV,F,"11,4"
176,[South]Mande,CIV,F,"7,7"
177,Bamileke-bamum,CMR,F,"18,6"
178,Duala,CMR,F,"10,9"
179,Fang,CMR,F,"19,7"
180,Ful,CMR,F,"9,6"
181,Maka,CMR,F,"4,9"
182,Mandara,CMR,F,"5,7"
183,Masana,CMR,F,"3,9"
184,Tikar,CMR,F,"7,4"
185,Boa,COD,F,"2,3"
186,Chokwe,COD,F,"1,8"
187,Kongo,COD,F,16
188,Luba,COD,F,18
189,Mongo,COD,F,"13,5"
190,Ngala and Bangi,COD,F,"5,8"
191,Rundi,COD,F,"3,8"
192,Rwanda,COD,F,"10,3"
193,Teke,COD,F,"2,7"
194,Zande,COD,F,"6,1"
195,Kongo,COG,F,"51,5"
196,Mbete,COG,F,"4,8"
197,Mboshi,COG,F,"11,4"
198,Punu,COG,F,"2,9"
199,Sango,COG,F,"2,6"
200,Teke,COG,F,"17,3"
201,English,COK,F,0
202,Maori,COK,T,0
203,Arawakan,COL,F,"0,1"
204,Caribbean,COL,F,"0,1"
205,Chibcha,COL,F,"0,4"
206,Creole English,COL,F,"0,1"
207,Spanish,COL,T,99
208,Comorian,COM,T,75
209,Comorian-Arabic,COM,F,"1,6"
210,Comorian-French,COM,F,"12,9"
211,Comorian-madagassi,COM,F,"5,5"
212,Comorian-Swahili,COM,F,"0,5"
213,Crioulo,CPV,F,100
214,Portuguese,CPV,T,0
215,Chibcha,CRI,F,"0,3"
216,Chinese,CRI,F,"0,2"
217,Creole English,CRI,F,2
218,Spanish,CRI,T,"97,5"
219,Spanish,CUB,T,100
220,Chinese,CXR,F,0
221,English,CXR,T,0
222,English,CYM,T,0
223,Greek,CYP,T,"74,1"
224,Turkish,CYP,T,"22,4"
225,Czech,CZE,T,"81,2"
226,German,CZE,F,"0,5"
227,Hungarian,CZE,F,"0,2"
228,Moravian,CZE,F,"12,9"
229,Polish,CZE,F,"0,6"
230,Romani,CZE,F,"0,3"
231,Silesiana,CZE,F,"0,4"
232,Slovak,CZE,F,"3,1"
233,German,DEU,T,"91,3"
234,Greek,DEU,F,"0,4"
235,Italian,DEU,F,"0,7"
236,Polish,DEU,F,"0,3"
237,Southern Slavic Languages,DEU,F,"1,4"
238,Turkish,DEU,F,"2,6"
239,Afar,DJI,F,"34,8"
240,Arabic,DJI,T,"10,6"
241,Somali,DJI,F,"43,9"
242,Creole English,DMA,F,100
243,Creole French,DMA,F,0
244,Arabic,DNK,F,"0,7"
245,Danish,DNK,T,"93,5"
246,English,DNK,F,"0,3"
247,German,DNK,F,"0,5"
248,Norwegian,DNK,F,"0,3"
249,Swedish,DNK,F,"0,3"
250,Turkish,DNK,F,"0,8"
251,Creole French,DOM,F,2
252,Spanish,DOM,T,98
253,Arabic,DZA,T,86
254,Berberi,DZA,F,14
255,KetSua,ECU,F,7
256,Spanish,ECU,T,93
257,Arabic,EGY,T,"98,8"
258,Sinaberberi,EGY,F,0
259,Afar,ERI,F,"4,3"
260,Bilin,ERI,F,3
261,Hadareb,ERI,F,"3,8"
262,Saho,ERI,F,3
263,Tigre,ERI,F,"31,7"
264,Tigrinja,ERI,T,"49,1"
265,Arabic,ESH,T,100
266,Basque,ESP,F,"1,6"
267,Catalan,ESP,F,"16,9"
268,Galecian,ESP,F,"6,4"
269,Spanish,ESP,T,"74,4"
270,Belorussian,EST,F,"1,4"
271,Estonian,EST,T,"65,3"
272,Finnish,EST,F,"0,7"
273,Russian,EST,F,"27,8"
274,Ukrainian,EST,F,"2,8"
275,Amhara,ETH,F,30
276,Gurage,ETH,F,"4,7"
277,Oromo,ETH,F,31
278,Sidamo,ETH,F,"3,2"
279,Somali,ETH,F,"4,1"
280,Tigrinja,ETH,F,"7,2"
281,Walaita,ETH,F,"2,8"
282,Estonian,FIN,F,"0,2"
283,Finnish,FIN,T,"92,7"
284,Russian,FIN,F,"0,4"
285,Saame,FIN,F,0
286,Swedish,FIN,T,"5,7"
287,Fijian,FJI,T,"50,8"
288,Hindi,FJI,F,"43,7"
289,English,FLK,T,0
290,Arabic,FRA,F,"2,5"
291,French,FRA,T,"93,6"
292,Italian,FRA,F,"0,4"
293,Portuguese,FRA,F,"1,2"
294,Spanish,FRA,F,"0,4"
295,Turkish,FRA,F,"0,4"
296,Danish,FRO,T,0
297,Faroese,FRO,T,100
298,Kosrean,FSM,F,"7,3"
299,Mortlock,FSM,F,"7,6"
300,Pohnpei,FSM,F,"23,8"
301,Trukese,FSM,F,"41,6"
302,Wolea,FSM,F,"3,7"
303,Yap,FSM,F,"5,8"
304,Fang,GAB,F,"35,8"
305,Mbete,GAB,F,"13,8"
306,Mpongwe,GAB,F,"14,6"
307,Punu-sira-nzebi,GAB,F,"17,1"
308,English,GBR,T,"97,3"
309,Gaeli,GBR,F,"0,1"
310,Kymri,GBR,F,"0,9"
311,Abhyasi,GEO,F,"1,7"
312,Armenian,GEO,F,"6,8"
313,Azerbaijani,GEO,F,"5,5"
314,Georgiana,GEO,T,"71,7"
315,Osseetti,GEO,F,"2,4"
316,Russian,GEO,F,"8,8"
317,Akan,GHA,F,"52,4"
318,Ewe,GHA,F,"11,9"
319,Ga-adangme,GHA,F,"7,8"
320,Gurma,GHA,F,"3,3"
321,Joruba,GHA,F,"1,3"
322,Mossi,GHA,F,"15,8"
323,Arabic,GIB,F,"7,4"
324,English,GIB,T,"88,9"
325,Ful,GIN,F,"38,6"
326,Kissi,GIN,F,6
327,Kpelle,GIN,F,"4,6"
328,Loma,GIN,F,"2,3"
329,Malinke,GIN,F,"23,2"
